id;titulo_fragmento;inicio ;final
001;creditos;0:00:00;00:02:07
002;hombre entra a convento;00:02:08;00:04:05
003;lina sobre arbol;00:04:06;00:05:44
004;encuentro lina y padre;00:05:45;00:07:32
005;despedida de lina;00:07:33;00:09:29
006;padre y lina llegan a la ciudad/casa;00:09:30;00:13:05
007;Banquete;00:13:06;00:13:54
008;Recuerdo rio;00:13:55;00:17:27
009;baile;00:17:28;00:18:20
010;Conquista de Carlos;00:18:21;00:20:19
011;Despilfarro de alvaro;00:20:20;00:22:07
012;alvaro y lina se conocen;00:22:08;00:22:50
013;lina llama a alvaro;00:22:51;00:24:13
014;lina va a jugar tennis;00:24:14;00:25:10
015;lina y carlos;00:25:11;00:26:19
016;charla de lina y alvaro;00:26:18;00:27:42
017;lina charla con padre;00:27:43;00:28:47
018;alvaro habla con padre;00:28:48;00:29:49
019;rescate ;00:29:50;00:35:18
020;paseo;00:35:19;00:36:49
021;entrega de la carta;00:36:50;00:37:56
022;lectura de la carta;00:37:57;00:38:32
023;carta a padre;00:38:33;00:40:56
024;cementerio;00:40:57;00:42:22
025;lina escribe carta;00:42:23;00:43:12
026;escape;00:43:12;00:45:53
027;mendiga;00:45:54;00:49:51
028;vuelta de Lina;00:49:52;00:52:36
029;el robo;00:52:36;00:53:29
030;el cadaver;00:53:29;00:54:20
031;alvaro vuelve;00:54:20;00:55:03
032;la pista;00:55:04;00:56:18
033;la captura;00:56:19;00:58:13
034;el interrogatorio;00:58:14;00:59:51
035;lina pasea;00:59:51;01:02:00
036;amor de campesinos y lina;01:02:01;01:04:26
037;quema de la noticia;01:04:27;01:06:35
038;toman cafè;01:06:36;01:07:28
039;cultivo de cafe;01:07:29;01:10:11
040;lina consiente perro;01:10:11;01:10:22
041;bodas campesinas;01:10:22;01:12:51
042;llega rocio y pasean a caballo;01:12:52;01:16:32
043;paseo en barco por magdalena;01:16:33;01:19:56
044;lina se entera de noticia de alvaro;01:19:57;01:21:03
045;cuentan noticia;01:21:04;01:22:49
046;encuentran a ladrones ;01:22:49;01:26:57
047;juicio de alvaro;01:26:58;01:28:33
048;testimonio de lina;01:28:34;01:28:59
049;suspencion de audiencia falsa;01:29:00;01:30:17
050;verdaderos culpables;01:30:18;01:32:40
051;llevan a culpables a carcel y llevan a lina;01:32:40;01:34:54
052;alvaro llega a casa;01:34:54;01:35:37
053;padre y lina en campo;01:35:38;01:36:55
054;pelea;01:36:56;01:40:03
055;cheque;01:40:04;01:41:12
056;niño prende cigarro a hombre;01:41:13;01:41:34
057;paseo de cascada;01:41:35;01:43:32
058;lina en frabica de cigarros;01:43:33;01:46:17
059;paseo en auto;01:46:18;01:49:03
060;festejo de trabajadores;01:49:04;01:50:29
061;campamento;01:50:30;01:51:14
062;festejo de busgueses;01:51:15;01:52:15
063;golf;01:52:16;01:52:41
064;fiesta de disfraces;01:52:42;01:54:09
065;declaraciòn del inglès;01:54:10;01:56:13
066;fiesta de disfraces continua;01:56:14;01:57:04
067;casamiento de lina;01:57:05;02:00:35
068;barca lleva a lina y la entrega con amado;02:00:36;02:02:45
069;;;
070;;;
071;;;
072;;;
073;;;
074;;;
075;;;
076;;;
077;;;
078;;;
079;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
